🕘️更新时间,#genre#
湖北卫视,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225708/1/index.m3u8?fmt=ts2hls
江西卫视,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225710/1/index.m3u8?fmt=ts2hls
广西卫视,http://183.251.61.207/PLTV/88888888/224/3221225836/index.m3u8
河北卫视,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225713/1/index.m3u8?fmt=ts2hls
山西卫视,http://117.169.120.140:8080/live/shanxistv/.m3u8
天津卫视,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225756/1/index.m3u8?fmt=ts2hls
黑龙江卫视,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225758/1/index.m3u8?fmt=ts2hls
陕西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225729/index.m3u8
吉林卫视,http://39.134.68.168:6610/PLTV/88888888/224/3221226047/index.m3u8?
内蒙古卫视,http://117.169.120.140:8080/live/neimenggustv/.m3u8
新疆卫视,http://183.251.61.207/PLTV/88888888/224/3221225852/index.m3u8
西藏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225723/index.m3u8
宁夏卫视,http://39.134.93.229:6610/000000001000/nxweishi/1.m3u8?IASHttpSessionId=
甘肃卫视,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225755/1/index.m3u8?fmt=ts2hls
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?
深圳卫视,http://223.110.243.140/ott.js.chinamobile.com/PLTV/3/224/3221227624/index.m3u8
兵团卫视,http://livewjq.chinamcache.com/live/wjq3.m3u8

🎬电影频道,#genre#
CCTV-6,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226250/1/index.m3u8?fmt=ts2hls
CCTV-6,http://123.175.209.52:9003/hls/7/index.m3u8
CCTV-6电影,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226250/1/index.m3u8?fmt=ts2hls
CCTV-6电影,http://123.175.209.52:9003/hls/7/index.m3u8
CHC动作电影,http://39.134.19.11/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8
动作电影,http://39.134.19.68/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
